City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,punta alta,-38.8759,-62.0736,18.49,69,0,5.7,AR,1705731723
83,tazovsky,67.4667,78.7,-13.8,93,100,11.85,RU,1705731725
84,ancud,-41.8697,-73.8203,9.24,82,0,2.43,CL,1705731726
85,bredasdorp,-34.5322,20.0403,24.83,49,0,1.17,ZA,1705731729
86,kingston,17.997,-76.7936,24.53,84,20,1.54,JM,1705731731
87,san julian,21.0167,-102.1667,14.18,22,100,3.44,MX,1705731726
88,thief river falls,48.1191,-96.1812,-24.47,76,0,0.91,US,1705731733
89,college,64.8569,-147.8028,-25.51,79,20,0.0,US,1705731735
90,medina,24.4686,39.6142,18.24,32,0,5.14,SA,1705731600
91,ushuaia,-54.8,-68.3,5.81,87,100,5.14,AR,1705731738
92,yellowknife,62.456,-114.3525,-25.25,84,75,1.54,CA,1705731739
93,shingu,33.7333,135.9833,12.85,92,100,7.83,JP,1705731695
94,labytnangi,66.6572,66.4183,-13.76,97,100,3.7,RU,1705731742
95,atafu village,-8.5421,-172.5159,29.49,70,70,6.26,TK,1705731743
96,lubang,13.8584,120.124,27.21,73,6,4.89,PH,1705731745
97,chernyshevsk,52.5243,117.0174,-25.27,90,16,1.19,RU,1705731747
98,xilin hot,43.9667,116.0333,-14.75,82,91,5.42,CN,1705731748
99,kodiak,57.79,-152.4072,2.73,70,0,3.09,US,1705731750
100,udachny,66.4167,112.4,-26.42,82,100,1.64,RU,1705731665
101,ndibene dahra,15.3338,-15.4766,17.02,93,46,4.07,SN,1705731753
102,nova vicosa,-17.8919,-39.3719,25.52,85,94,5.6,BR,1705731755
103,mili,6.0815,171.735,28.0,79,100,7.77,MH,1705731756
104,figueres,42.2664,2.9616,8.72,49,23,3.46,ES,1705731758
105,linqiong,30.4159,103.4609,9.9,83,100,1.33,CN,1705731759
106,isafjordur,66.0755,-23.124,-2.66,81,100,1.73,IS,1705731760
107,igarka,67.4667,86.5833,-17.96,92,100,10.36,RU,1705731762
108,hammerfest,70.6634,23.6821,-4.75,74,40,7.72,NO,1705731764
109,oakdale,44.963,-92.9649,-17.51,73,0,3.09,US,1705731765
110,masterton,-40.9597,175.6575,22.28,69,87,3.85,NZ,1705731767
111,olonkinbyen,70.9221,-8.7187,-0.03,76,100,12.69,SJ,1705731769
112,badger,64.8,-147.5333,-25.56,81,20,0.0,US,1705731770
113,hamilton,39.1834,-84.5333,-10.51,82,100,6.26,US,1705731602
114,zalaegerszeg,46.84,16.8439,-3.23,72,1,3.81,HU,1705731514
115,qaqortoq,60.7167,-46.0333,-9.88,77,69,2.09,GL,1705731774
116,longyearbyen,78.2186,15.6401,-17.09,66,20,4.12,SJ,1705731776
117,praia da vitoria,38.7333,-27.0667,14.31,77,20,3.91,PT,1705731777
118,balkanabat,39.5108,54.3671,11.18,46,51,2.69,TM,1705731779
119,margaret river,-33.95,115.0667,23.5,61,7,3.85,AU,1705731780
120,puerto natales,-51.7236,-72.4875,10.12,77,97,8.76,CL,1705731782
121,kupang,-10.1667,123.5833,31.32,89,75,4.12,ID,1705731656
122,baharly,38.4362,57.4316,11.01,46,1,5.22,TM,1705731786
123,lihue,21.9789,-159.3672,25.58,86,100,4.12,US,1705731788
124,fort st. john,56.2499,-120.8529,-18.06,85,100,2.06,CA,1705731790
125,yatou,37.15,122.3833,2.5,98,100,4.07,CN,1705731791
126,daru,-9.0763,143.2092,31.76,63,87,3.29,PG,1705731793
127,juhaynah,26.6732,31.4976,15.09,58,7,2.81,EG,1705731794
128,teluknaga,-6.0989,106.6381,35.57,52,20,9.26,ID,1705731797
129,happy valley-goose bay,53.3168,-60.3315,-2.83,68,100,3.6,CA,1705731799
130,wynyard,-41.0,145.7167,18.28,63,92,3.16,AU,1705731800
131,bethel,41.3712,-73.414,-5.69,70,0,2.06,US,1705731801
132,la passe,45.5549,-0.8967,-1.87,71,2,4.09,FR,1705731803
133,kapuskasing,49.4169,-82.4331,-17.0,78,100,5.14,CA,1705731804
134,barcs,45.96,17.4586,-1.07,75,29,2.33,HU,1705731806
135,martinsville,36.6915,-79.8725,-2.62,46,0,3.6,US,1705731808
136,ghat,24.9647,10.1728,16.74,8,71,1.75,LY,1705731810
137,argo,37.6333,22.7333,11.55,72,55,1.82,GR,1705731811
138,port lincoln,-34.7333,135.8667,24.0,49,66,7.26,AU,1705731813
139,ishigaki,24.3448,124.1572,25.07,78,75,5.14,JP,1705731553
140,sipovo,44.2814,17.0839,-3.74,97,100,2.51,BA,1705731816
141,zambezi,-13.5432,23.1047,18.59,91,100,2.31,ZM,1705731818
142,dudinka,69.4058,86.1778,-16.32,89,100,13.09,RU,1705731819
143,severo-yeniseyskiy,60.3725,93.0408,-16.9,92,100,0.89,RU,1705731821
144,novyy urgal,51.0736,132.5642,-27.05,82,30,0.44,RU,1705731822
145,luderitz,-26.6481,15.1594,17.8,87,47,3.24,NA,1705731823
146,kalmunai,7.4167,81.8167,28.2,75,9,5.21,LK,1705731825
147,alofi,-19.0595,-169.9187,26.94,94,94,3.09,NU,1705731827
148,puerto ayora,-0.7393,-90.3518,25.31,97,51,0.89,EC,1705731829
149,douentza,14.9951,-2.9517,18.76,14,57,2.53,ML,1705731831
150,phalaborwa,-23.943,31.1411,21.32,54,34,6.87,ZA,1705731833
151,saint-philippe,-21.3585,55.7679,28.77,79,82,3.29,RE,1705731836
152,vordingborg,55.008,11.9106,3.9,86,100,14.13,DK,1705731837
153,ipameri,-17.7219,-48.1597,20.61,90,99,1.3,BR,1705731839
154,thompson,55.7435,-97.8558,-12.91,85,100,3.6,CA,1705731840
155,susuman,62.7833,148.1667,-33.9,100,94,0.45,RU,1705731841
156,papao,-17.75,-149.55,27.82,72,77,0.66,PF,1705731843
157,bikapur,26.6,82.1333,17.05,51,0,1.74,IN,1705731844
158,bikenibeu village,1.3673,173.1241,29.98,74,40,3.6,KI,1705731846
159,pocahontas,36.2615,-90.9712,-8.34,66,0,4.63,US,1705731847
160,burabay,53.0838,70.3138,-14.75,92,83,0.67,KZ,1705731849
161,robore,-18.3333,-59.75,25.65,69,80,1.8,BO,1705731850
162,lerwick,60.1545,-1.1494,5.0,94,100,11.79,GB,1705731851
163,fisterra,42.9049,-9.2629,0.42,59,19,2.0,ES,1705731853
164,sao vicente,-23.9631,-46.3919,28.32,26,100,0.89,BR,1705731787
165,kzyltu,53.6364,72.3414,-21.88,96,25,1.79,KZ,1705731856
166,mangrol,21.1167,70.1167,25.1,34,7,4.08,IN,1705731857
167,whitehorse,60.7161,-135.0538,-28.83,70,0,0.0,CA,1705731858
168,hasaki,35.7333,140.8333,9.05,70,100,6.59,JP,1705731860
169,inirida,3.8653,-67.9239,24.21,86,30,0.27,CO,1705731861
170,bathsheba,13.2167,-59.5167,26.34,83,75,9.26,BB,1705731863
171,nantucket,41.2835,-70.0995,-3.94,58,0,4.63,US,1705731864
172,padang,-0.9492,100.3543,31.03,83,96,2.7,ID,1705731866
173,coquimbo,-29.9533,-71.3436,16.85,88,100,3.6,CL,1705731867
174,togur,58.3631,82.8265,-18.81,93,34,1.79,RU,1705731868
175,uturoa,-16.7333,-151.4333,28.12,72,35,2.58,PF,1705731870
176,ugoofaaru,5.6667,73.0,27.69,77,1,4.24,MV,1705731871
177,hailar,49.2,119.7,-21.16,79,100,3.5,CN,1705731873
178,kruisfontein,-34.0033,24.7314,22.16,50,4,2.46,ZA,1705731874
179,samus',56.7475,84.6992,-14.87,89,100,1.91,RU,1705731876
180,misratah,32.3754,15.0925,19.07,32,100,6.8,LY,1705731878
181,flying fish cove,-10.4217,105.6791,28.82,78,75,4.12,CX,1705731880
182,marsh harbour,26.5412,-77.0636,22.88,79,100,4.84,BS,1705731882
183,the pas,53.8251,-101.2541,-14.99,78,100,2.57,CA,1705731886
184,kamaishi,39.2667,141.8833,3.37,64,63,2.01,JP,1705731642
185,st. john's,47.5649,-52.7093,-3.25,83,100,3.09,CA,1705731892
186,shohimardon,39.9839,71.8028,-2.57,54,22,0.83,UZ,1705731894
187,kavalerovo,44.2661,135.0572,-9.7,44,69,3.58,RU,1705731896
188,ghanzi,-21.5667,21.7833,19.22,67,42,4.75,BW,1705731898
189,hawaiian paradise park,19.5933,-154.9731,22.73,92,100,0.0,US,1705731899
190,bamboo flat,11.7,92.7167,29.05,61,20,5.14,IN,1705731900
191,envira,-7.3,-70.2167,22.35,99,95,0.54,BR,1705731902
192,malinyi,-8.9333,36.1333,24.43,92,100,0.32,TZ,1705731903
193,bandiagara,14.3501,-3.6104,19.76,13,33,4.85,ML,1705731905
194,taulaga,-11.0553,-171.0883,29.48,70,97,5.06,AS,1705731907
195,posto fiscal rolim de moura,-13.0833,-62.2667,22.97,96,81,0.43,BR,1705731908
196,remire-montjoly,4.9167,-52.2667,25.02,94,75,1.03,GF,1705731910
197,mosjoen,65.836,13.1908,-11.71,92,40,1.03,NO,1705731912
198,cabo san lucas,22.8909,-109.9124,20.98,83,70,2.54,MX,1705731913
199,zhangye,38.9342,100.4517,-6.07,55,73,5.03,CN,1705731627
200,murakami,38.2333,139.4833,5.94,53,84,0.74,JP,1705731916
201,lebu,-37.6167,-73.65,13.44,90,0,9.52,CL,1705731917
202,horta,38.5333,-28.6333,16.68,92,87,4.47,PT,1705731919
203,ribeira brava,32.65,-17.0667,17.35,74,46,1.83,PT,1705731922
204,ribadesella,43.4614,-5.0596,2.19,56,9,4.13,ES,1705731923
205,naze,28.3667,129.4833,20.51,80,35,6.06,JP,1705731925
206,jayapura,-2.5333,140.7,24.66,94,100,3.97,ID,1705731735
207,la sarre,48.8002,-79.1996,-16.15,95,100,3.98,CA,1705731927
208,nadi,-17.8,177.4167,29.0,79,75,3.6,FJ,1705731929
209,stanley,54.868,-1.6985,5.16,80,75,6.17,GB,1705731931
210,kavaratti,10.5669,72.642,27.85,73,3,4.45,IN,1705731933
211,page,36.9147,-111.4558,4.88,66,0,1.34,US,1705731936
212,intorsura buzaului,45.6833,26.0333,-3.71,94,100,2.21,RO,1705731938
213,kapa'a,22.0752,-159.319,25.99,85,100,4.12,US,1705731939
214,kanniyakumari,8.0833,77.5667,28.8,70,75,9.23,IN,1705731941
215,ouani,-12.1322,44.4258,27.75,78,100,5.7,KM,1705731943
216,kostanay,53.1667,63.5833,-13.84,85,0,6.0,KZ,1705731801
217,villajoyosa,38.5075,-0.2335,12.19,78,72,3.87,ES,1705731945
218,forster,-32.1667,152.5167,25.21,74,45,6.37,AU,1705731694
219,mugia,43.1041,-9.2179,0.51,63,20,2.31,ES,1705731948
220,slyudyanka,51.6594,103.7061,-12.13,82,99,1.12,RU,1705731949
221,arhribs,36.7936,4.3116,11.49,84,82,2.26,DZ,1705731951
222,ketchikan,55.3422,-131.6461,2.97,86,100,0.0,US,1705731952
223,ilulissat,69.2167,-51.1,-9.99,85,100,9.77,GL,1705731954
224,ceeldheer,3.8488,47.1806,27.9,57,93,11.69,SO,1705731955
225,anloga,5.7947,0.8973,26.67,81,5,2.72,GH,1705731956
226,el granada,37.5027,-122.4694,14.63,91,100,7.72,US,1705731958
227,teotitlan,18.1319,-97.0767,16.25,92,87,1.52,MX,1705731959
228,vorgashor,67.5833,63.95,-14.39,87,99,6.93,RU,1705731960
229,dryden,49.7833,-92.7503,-24.84,84,20,3.09,CA,1705731962
230,mount gambier,-37.8333,140.7667,26.06,33,99,4.5,AU,1705731964
231,rongelap,11.1635,166.8941,26.23,74,99,11.0,MH,1705731965
232,kerikeri,-35.2268,173.9474,24.39,76,91,0.45,NZ,1705731967
233,colonia,50.9333,6.95,-3.13,93,0,1.03,DE,1705731685
234,talnakh,69.4865,88.3972,-16.55,90,99,8.8,RU,1705731971
235,somerset east,-32.7217,25.588,25.37,36,0,1.74,ZA,1705731972
236,caleta de carquin,-11.0925,-77.6267,22.6,85,99,3.35,PE,1705731973
237,sligo,54.2697,-8.4694,8.16,94,100,7.25,IE,1705731975
238,brooks,50.5834,-111.8851,-15.01,72,83,6.17,CA,1705731977
239,sitia,35.2,26.0986,15.55,75,83,4.19,GR,1705731979
240,puerto baquerizo moreno,-0.9,-89.6,24.77,91,20,3.98,EC,1705731980
